1092009	42	84
2092009	55	88
3092009	65	93
4092009	55	94
5092009	49	85
6092009	51	91
7092009	52	91
8092009	50	90
9092009	48	81
10092009	51	81
11092009	52	81
12092009	42	79
13092009	44	92
14092009	54	77
15092009	54	85
16092009	53	81
17092009	36	75
18092009	51	77
19092009	42	87
20092009	42	84
21092009	55	77
22092009	57	80
23092009	63	84
24092009	62	80
25092009	65	87
26092009	63	87
27092009	46	72
28092009	45	93
29092009	53	91
30092009	56	77
1102009	47	76
2102009	61	86
3102009	53	78
4102009	49	77
5102009	51	85
6102009	53	82
7102009	57	91
8102009	55	89
9102009	62	90
10102009	56	92
11102009	60	85
12102009	55	84
13102009	58	81
14102009	52	80
15102009	62	93
16102009	64	87
17102009	59	80
18102009	45	85
19102009	63	81
20102009	47	79
21102009	49	85
22102009	72	88
23102009	53	85
24102009	58	83
25102009	66	93
26102009	62	93
27102009	54	93
28102009	56	91
29102009	57	95
30102009	57	86
31102009	69	88
1112009	59	85
2112009	59	88
3112009	66	87
4112009	54	80
5112009	65	90
6112009	86	95
7112009	87	95
8112009	65	94
9112009	59	89
10112009	56	82
11112009	62	82
12112009	56	79
13112009	52	94
14112009	52	80
15112009	56	84
16112009	41	76
17112009	54	95
18112009	66	94
19112009	54	78
20112009	51	83
21112009	49	78
22112009	48	74
23112009	47	77
24112009	55	78
25112009	52	89
26112009	61	94
27112009	59	92
28112009	57	90
29112009	60	81
30112009	65	89
1122009	64	82
2122009	66	84
3122009	69	93
4122009	72	90
5122009	70	94
6122009	68	93
7122009	67	94
8122009	66	95
9122009	68	89
10122009	56	87
11122009	44	77
12122009	62	92
13122009	62	87
14122009	61	92
15122009	65	90
16122009	60	88
17122009	67	90
18122009	65	87
19122009	64	81
20122009	63	86
21122009	56	87
22122009	55	91
23122009	51	77
24122009	49	80
25122009	41	87
26122009	47	90
27122009	49	83
28122009	50	77
29122009	53	92
30122009	60	95
31122009	67	95
1012010	65	91
2012010	70	88
3012010	70	97
4012010	72	96
5012010	70	95
6012010	70	91
7012010	72	93
8012010	66	95
9012010	66	89
10012010	64	89
11012010	63	81
12012010	62	88
13012010	75	94
14012010	74	94
15012010	71	96
16012010	77	97
17012010	65	95
18012010	63	93
19012010	65	92
20012010	65	88
21012010	62	89
22012010	68	91
23012010	64	88
24012010	63	93
25012010	60	88
26012010	57	83
27012010	58	83
28012010	69	86
29012010	57	90
30012010	54	86
31012010	66	88
1022010	68	86
2022010	67	96
3022010	77	96
4022010	71	98
5022010	64	95
6022010	63	91
7022010	67	86
8022010	65	93
9022010	69	94
